# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x10001000|adler32|_adler32|library|302
0x10001130|SendBroadcastPacket|_SendBroadcastPacket|function|179
0x100011f0|||function|309
0x10001330|deflateInit2_|_deflateInit2_|library|505
0x10001530|init_stream|_init_stream|function|115
0x100015b0|||function|685
0x10001860|copy_fields|_copy_fields|function|47
0x10001890|flush_pending|_flush_pending|library|114
0x10001910|free_game_subobject|_free_game_subobject|function|170
0x100019c0|lm_init|_lm_init|library|147
0x10001a60|||function|343
0x10001bc0|func_10001bc0|_func_10001bc0|function|290
0x10001cf0|read_buf|_read_buf|library|113
0x100020a0|||function|367
0x10002640|DispatchLogOutput|_DispatchLogOutput|function|290
0x10002770|||function|1836
0x10002fc0|||function|376
0x10003140|get_record|_get_record|function|33
0x10003170|||function|95
0x10003260|||function|183
0x10003320|InitializeLogAndErrorHandler|_InitializeLogAndErrorHandler|function|404
0x100034c0|ShutdownLogAndErrorHandler|_ShutdownLogAndErrorHandler|function|83
0x10003520|ReportFatalError|_ReportFatalError|function|160
0x100035c0|message_handler|_message_handler|function|119
0x10003640|LogMessageInternal|_LogMessageInternal|function|132
0x100036d0|check_header|_check_header|library|332
0x10003820|game_getbyte|_game_getbyte|function|114
0x100038a0|||function|177
0x10003960|||function|559
0x10003b90|||function|182
0x10003c50|||function|65
0x10003ca0|||function|77
0x10003cf0|||function|43
0x10003d20|game_object_reset|_game_object_reset|function|123
0x10003da0|alloc_game_object|_alloc_game_object|function|160
0x10003e40|||function|3263
0x10004b40|dispatch_3calls|_dispatch_3calls|function|57
0x10004b80|alloc_and_init|_alloc_and_init|function|57
0x10004bc0|InflateFast|_InflateFast|function|1919
0x10005370|dispatch_call|_dispatch_call|function|20
0x10005390|||function|911
0x10005720|reset_subobject|_reset_subobject|function|66
0x10005770|cleanup_subobject|_cleanup_subobject|function|72
0x100057c0|inflateInit2_|_inflateInit2_|library|270
0x100058d0|InflateStateMachine|_InflateStateMachine|function|1015
0x10005d00|inflate_trees_bits|_inflate_trees_bits|library|163
0x10005db0|||function|1225
0x10006280|inflate_trees_dynamic|_inflate_trees_dynamic|library|393
0x10006410|get_4globals|_get_4globals|function|46
0x10006440|func_10006440|_func_10006440|function|306
0x10006580|AllocateTrackedHeapBlock|_AllocateTrackedHeapBlock|function|658
0x10006820|FreeTrackedHeapBlock|_FreeTrackedHeapBlock|function|188
0x100068e0|||function|162
0x10006990|||function|612
0x10006c00|func_10006c00|_func_10006c00|function|283
0x10006d20|func_10006d20|_func_10006d20|function|270
0x10006e30|pool_free|_pool_free|function|137
0x10006ec0|tr_init|__tr_init|library|108
0x10006f30|noop_ret1|_noop_ret1|function|1
0x10006f40|init_player_struct|_init_player_struct|function|102
0x10006fb0|tr_stored_block|__tr_stored_block|library|157
0x10007050|tr_align|__tr_align|library|597
0x100072b0|tr_flush_block|__tr_flush_block|library|494
0x100074a0|build_tree|_build_tree|library|563
0x100076e0|pqdownheap|_pqdownheap|library|209
0x100077c0|gen_bitlen|_gen_bitlen|library|545
0x100079f0|gen_codes|_gen_codes|library|115
0x10007a70|build_bl_tree|_build_bl_tree|library|111
0x10007ae0|scan_tree|_scan_tree|library|231
0x10007bd0|send_all_trees|_send_all_trees|library|613
0x10007e40|send_tree|_send_tree|library|1397
0x100083c0|compress_block|_compress_block|library|1083
0x10008800|set_data_type|_set_data_type|library|116
0x10008880|bit_reverse|_bit_reverse|function|31
0x100088a0|bi_flush|_bi_flush|library|139
0x10008930|bi_windup|_bi_windup|library|124
0x100089b0|copy_block|_copy_block|library|151
0x10008a50|cleanup_entity|_cleanup_entity|function|53
0x10008a90|||function|492
0x10008c80|cleanup_object|_cleanup_object|function|129
0x10008d10|func_10008d10|_func_10008d10|function|301
0x10008e40|ReadVfsData|_ReadVfsData|function|472
0x10009020|||function|667
0x100092e0|alloc_mul|_alloc_mul|function|19
0x10009300|free_wrap|_free_wrap|function|12
0x10009310|exit_handler|_exit_handler|function|8
0x10009320|init_export|_init_export|function|42
0x10009350|stop_thread|_stop_thread|function|68
0x100093a0|ServerMainThread|_ServerMainThread|function|2434
0x10009d30|func_10009d30|_func_10009d30|function|296
0x10009e60|CreateListenSocket|_CreateListenSocket|function|419
0x1000a010|network_shutdown|_network_shutdown|function|112
0x1000a080|AcceptConnections|_AcceptConnections|function|600
0x1000a2e0|ClosePlayerConnection|_ClosePlayerConnection|function|96
0x1000a340|ReceivePacketHeader|_ReceivePacketHeader|function|336
